t,t_knwn,traj_num,x,x_knwn,y,y_knwn,z,z_knwn
2.7269,,,1.60869201717,,7.42341438035,,2.88259619421,
2.7429,,,1.61076377557,,7.40162410402,,2.86208054958,
2.7511,,,,,,,,
2.7817,,,1.61561280835,,7.35856576586,,2.80106853113,
2.8114,,,1.62046184114,,7.31550742771,,2.74005651267,
2.8242,,,1.61897186272,,7.28478405102,,2.70917198436,
2.8432,,,1.6174818843,,7.25406067432,,2.67828745605,
2.8521,,,,,,,,
2.877,,,1.64072138115,,7.20315418495,,2.61771968305,
2.8972,,,1.6618891196,,7.17403797191,,2.57766755468,
2.9124,,,1.67386162603,,7.14884583447,,2.53739330359,
2.928,,,1.68548137446,,7.12339258979,,2.50710941709,
2.9606,,,1.71263536612,,7.08168030803,,2.44692016317,
2.9837,,,1.72769311534,,7.01212429618,,2.39558571661,
2.9982,,,1.75242259062,,6.9919411835,,2.36590247192,
3.0124,,,2.3817998393,,6.96953753245,,2.47762693327,
3.0433,,,1.43944964031,,5.26319489796,,1.88926402128,
3.0583,,,,,,,,
3.0738,,,,,,,,
3.0864,,,,,,,,
3.0998,,,2.51785142652,,6.87336988654,,2.34979208085,
3.1316,,,2.5691531135,,6.86398814512,,2.31131975519,
3.1444,,,,,,,,
3.1581,,,,,,,,
3.181,,,2.96282127315,,6.57549267423,,2.07744854416,
3.2044,,,,,,,,
3.21,,,,,,,,
3.2474,,,,,,,,
3.2579,,,,,,,,
3.2685,,,,,,,,
3.2797,,,,,,,,
3.2847,,,,,,,,
3.2897,,,,,,,,
3.295,,,,,,,,
3.3001,,,,,,,,
3.3055,,,,,,,,
3.3104,,,,,,,,
3.3284,,,2.9426647606,,6.62681793733,,1.56758637419,
3.3727,,,,,,,,
4.0272,,,,,,,,
4.1551,,,0.373775305885,,-0.00799978937732,,3.30540129608,
4.3297,,,,,,,,
